demanda_id,produto_codigo,produto_descricao,lote,quantidade,venda_media,dias_estoque,data_vencimento,ultima_data_recolhimento,prazo_45dias_flag,stock_age_index,previsao_escoamento,tipo,origem_imagem,confidence,requires_manual_review
a1b2c3d4-0001-4000-8000-000000000001,838,CHOPP BRAHMA CLARO BARRIL KEG 50L,LOT-838-20260806,3,2.5,1.2,2026-08-06,2026-08-05,TRUE,0.95,2026-08-06,fefo,Image_1.png,0.98,FALSE
a1b2c3d4-0002-4000-8000-000000000002,23269,SKOL BEATS GT LONG NECK 269ML SIX-PACK,LOT-23269-20260818,5,1.2,4.1,2026-08-18,2026-08-05,TRUE,0.88,2026-08-10,fefo,Image_1.png,0.96,FALSE
a1b2c3d4-0003-4000-8000-000000000003,21666,RED BULL TROPICAL BR LATA 250ML FOUR-PACK,LOT-21666-20260824,306,15.0,20.4,2026-08-24,2026-08-05,TRUE,0.82,2026-08-20,fefo,Image_1.png,0.97,FALSE
a1b2c3d4-0004-4000-8000-000000000004,31795,BRUTAL FRUIT LONG NECK 275ML SIX-PACK,LOT-31795-20260918,3,4.1,0.73,2026-09-18,2026-08-05,TRUE,0.65,2026-08-06,futuro_shelf,Image_4.png,0.95,FALSE
a1b2c3d4-0005-4000-8000-000000000005,31795,BRUTAL FRUIT LONG NECK 275ML SIX-PACK,LOT-31795-20260918,36,4.1,8.78,2026-09-18,2026-08-05,TRUE,0.65,2026-08-14,futuro_shelf,Image_4.png,0.94,FALSE
a1b2c3d4-0006-4000-8000-000000000006,9093,PEPSI TWIST LATA 350ML SH C/12 NPAL,LOT-9093-20260925,60,5.9,10.17,2026-09-25,2026-08-05,FALSE,0.58,2026-08-16,futuro_shelf,Image_4.png,0.93,FALSE
a1b2c3d4-0007-4000-8000-000000000007,347,SUKITA PET 1L CAIXA C/12,LOT-347-20260925,24,11.3,2.12,2026-09-25,2026-08-05,FALSE,0.57,2026-08-08,futuro_shelf,Image_4.png,0.95,FALSE
a1b2c3d4-0008-4000-8000-000000000008,9093,PEPSI TWIST LATA 350ML SH C/12 NPAL,LOT-9093-20260925,32,5.9,5.42,2026-09-25,2026-08-05,FALSE,0.58,2026-08-11,futuro_shelf,Image_4.png,0.92,FALSE
a1b2c3d4-0009-4000-8000-000000000009,18267,SODA LIMONADA ANTARCTICA PET 200ML,LOT-18267-20260926,8,11.3,0.71,2026-09-26,2026-08-05,FALSE,0.55,2026-08-06,futuro_shelf,Image_4.png,0.91,FALSE
a1b2c3d4-0010-4000-8000-000000000010,AR-09,PROCEDIMENTO OPERACIONAL PADRÃO - REPACK,N/A,182,,,2026-12-31,2026-08-05,FALSE,,,repack,Image_2.png,0.99,FALSE
